"No.","Time","Source","Destination","Protocol","Length","Total Length","Source Port","Destination Port","DestinationMacAddress","SourceMacAddress"
"169","73.438832","192.168.1.79","192.168.1.93","TCP","66","52","63100","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"170","73.438834","192.168.1.79","192.168.1.93","TCP","66","52","63101","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"171","73.438835","192.168.1.79","192.168.1.93","TCP","66","52","63102","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"172","73.438836","192.168.1.79","192.168.1.93","TCP","66","52","63103","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"173","73.438837","192.168.1.79","192.168.1.93","TCP","66","52","63104","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"174","73.438838","192.168.1.79","192.168.1.93","TCP","66","52","63105","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"175","73.438839","192.168.1.79","192.168.1.93","TCP","66","52","63106","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"176","73.438840","192.168.1.79","192.168.1.93","TCP","66","52","63107","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"177","73.438841","192.168.1.79","192.168.1.93","TCP","66","52","63108","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"178","73.438842","192.168.1.79","192.168.1.93","TCP","66","52","63109","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"179","73.438843","192.168.1.79","192.168.1.93","TCP","66","52","63110","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"180","73.438844","192.168.1.79","192.168.1.93","TCP","66","52","63111","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"181","73.438846","192.168.1.79","192.168.1.93","TCP","66","52","63112","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"182","73.438847","192.168.1.79","192.168.1.93","TCP","66","52","63113","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"183","73.438970","192.168.1.93","192.168.1.79","TCP","54","40","80","63052","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"184","73.438971","192.168.1.93","192.168.1.79","TCP","54","40","80","63053","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"185","73.438971","192.168.1.93","192.168.1.79","TCP","54","40","80","63054","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"186","73.438972","192.168.1.93","192.168.1.79","TCP","54","40","80","63055","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"187","73.438972","192.168.1.93","192.168.1.79","TCP","54","40","80","63056","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"188","73.438973","192.168.1.93","192.168.1.79","TCP","54","40","80","63057","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"189","73.438973","192.168.1.93","192.168.1.79","TCP","54","40","80","63058","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"190","73.438974","192.168.1.93","192.168.1.79","TCP","54","40","80","63059","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"191","73.438974","192.168.1.93","192.168.1.79","TCP","54","40","80","63060","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"192","73.438975","192.168.1.93","192.168.1.79","TCP","54","40","80","63061","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"193","73.438975","192.168.1.93","192.168.1.79","TCP","54","40","80","63062","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"194","73.438976","192.168.1.93","192.168.1.79","TCP","54","40","80","63063","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"195","73.438976","192.168.1.93","192.168.1.79","TCP","54","40","80","63064","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"196","73.438977","192.168.1.93","192.168.1.79","TCP","54","40","80","63065","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"197","73.438977","192.168.1.93","192.168.1.79","TCP","54","40","80","63066","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
