Number,Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,,PacketClassification
4238,209.861226,192.168.1.93,93.184.220.29,TCP,66,52,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4239,211.037644,192.168.1.93,18.164.66.173,TCP,54,40,50316,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4240,211.047647,18.164.66.173,192.168.1.93,TCP,66,52,80,50316,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4241,212.801472,192.168.1.93,18.164.66.173,OCSP,505,491,50316,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4242,212.81268,18.164.66.173,192.168.1.93,TCP,66,52,80,50316,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4243,212.886264,18.164.66.173,192.168.1.93,OCSP,1012,998,80,50316,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4244,212.88653,192.168.1.93,18.164.66.173,TCP,66,52,50316,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4245,213.145507,192.168.1.93,93.184.220.29,OCSP,496,482,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4246,213.156329,93.184.220.29,192.168.1.93,OCSP,805,791,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4247,213.156386,192.168.1.93,93.184.220.29,TCP,66,52,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4248,213.432512,192.168.1.93,213.123.255.103,TCP,54,40,50314,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4249,213.440634,213.123.255.103,192.168.1.93,TCP,66,52,80,50314,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4250,213.63312,192.168.1.93,213.123.255.103,TCP,54,40,50315,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4251,213.643087,213.123.255.103,192.168.1.93,TCP,66,52,80,50315,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4252,215.863293,192.168.1.93,93.184.220.29,TCP,66,52,50366,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4253,215.872811,93.184.220.29,192.168.1.93,TCP,66,52,80,50366,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4254,215.872975,192.168.1.93,93.184.220.29,TCP,66,52,50366,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4255,217.224572,192.168.1.93,142.250.180.3,TCP,54,40,50346,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4256,217.224572,192.168.1.93,142.250.180.3,TCP,54,40,50345,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4257,217.224573,192.168.1.93,142.250.180.3,TCP,54,40,50344,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4258,217.234045,142.250.180.3,192.168.1.93,TCP,66,52,80,50346,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4259,217.234338,142.250.180.3,192.168.1.93,TCP,66,52,80,50344,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4260,217.234341,142.250.180.3,192.168.1.93,TCP,66,52,80,50345,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4261,218.163922,192.168.1.93,172.64.155.188,TCP,54,40,50294,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4262,218.174228,172.64.155.188,192.168.1.93,TCP,54,40,80,50294,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4263,218.204384,192.168.1.93,172.64.155.188,TCP,54,40,50296,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4264,218.214666,172.64.155.188,192.168.1.93,TCP,54,40,80,50296,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4265,218.318638,192.168.1.93,172.64.155.188,TCP,54,40,50297,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4266,218.327874,172.64.155.188,192.168.1.93,TCP,54,40,80,50297,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4267,218.425957,192.168.1.93,18.164.66.173,OCSP,505,491,50316,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4268,218.436772,18.164.66.173,192.168.1.93,TCP,66,52,80,50316,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4269,218.507424,18.164.66.173,192.168.1.93,OCSP,1012,998,80,50316,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4270,218.507478,192.168.1.93,18.164.66.173,TCP,66,52,50316,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4271,220.467877,192.168.1.93,142.250.180.3,TCP,54,40,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4272,220.483586,142.250.180.3,192.168.1.93,TCP,66,52,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4273,220.568174,192.168.1.93,93.184.220.29,TCP,54,40,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4274,220.568175,192.168.1.93,93.184.220.29,TCP,54,40,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4275,220.577232,93.184.220.29,192.168.1.93,TCP,66,52,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4276,220.578428,93.184.220.29,192.168.1.93,TCP,66,52,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4277,223.717942,192.168.1.93,93.184.220.29,TCP,54,40,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4278,223.72745,93.184.220.29,192.168.1.93,TCP,66,52,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4279,223.964168,192.168.1.93,213.123.255.103,TCP,54,40,50314,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4280,223.973004,213.123.255.103,192.168.1.93,TCP,66,52,80,50314,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4281,224.266394,192.168.1.93,213.123.255.103,TCP,54,40,50315,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4282,224.274223,213.123.255.103,192.168.1.93,TCP,66,52,80,50315,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4283,224.442269,192.168.1.93,142.250.180.3,OCSP,498,484,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4284,224.451658,142.250.180.3,192.168.1.93,TCP,66,52,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4285,224.453272,192.168.1.93,142.250.180.3,OCSP,498,484,50344,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4286,224.453324,192.168.1.93,142.250.180.3,OCSP,499,485,50345,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4287,224.462833,142.250.180.3,192.168.1.93,TCP,66,52,80,50344,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4288,224.463716,142.250.180.3,192.168.1.93,TCP,66,52,80,50345,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4289,224.550639,142.250.180.3,192.168.1.93,OCSP,767,753,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4290,224.55068,192.168.1.93,142.250.180.3,TCP,66,52,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4291,224.570197,142.250.180.3,192.168.1.93,OCSP,767,753,80,50344,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4292,224.570672,192.168.1.93,142.250.180.3,TCP,66,52,50344,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4293,224.57078,142.250.180.3,192.168.1.93,OCSP,768,754,80,50345,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4294,224.57098,192.168.1.93,142.250.180.3,TCP,66,52,50345,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4295,227.668705,192.168.1.93,142.250.180.3,TCP,54,40,50346,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4296,227.678789,142.250.180.3,192.168.1.93,TCP,66,52,80,50346,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4297,228.593555,192.168.1.93,172.64.155.188,TCP,54,40,50294,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4298,228.604555,172.64.155.188,192.168.1.93,TCP,54,40,80,50294,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4299,228.694558,192.168.1.93,172.64.155.188,TCP,54,40,50296,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4300,228.704925,172.64.155.188,192.168.1.93,TCP,54,40,80,50296,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4301,228.716974,192.168.1.93,172.64.155.188,TCP,54,40,50297,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
